name,location_district,location_place,location_detail,room_type,room_area,total_price,average_price
润泽御府,朝阳,北苑,北京市朝阳区北五环顾家庄桥向北约2.6公里,4室,540.0,5000.0,100000
远洋新天地,门头沟,门头沟其它,长安街西延线与滨河路南延交汇处（东南侧）,1室,1118.0,3700.0,33000
懋源·璟岳,丰台,玉泉营,南三环西路99号院,4室,465.0,5500.0,113000
懋源·璟玺,朝阳,中央别墅区,孙河京密路与京平辅路交叉口西行1000米,4室,262.0,4200.0,86000
北京壹号总部,大兴,亦庄,台湖镇光机电一体化产业基地科创东二街5号,,,5777.0,28000
