name,location_district,location_place,location_detail,room_type,room_area,total_price,average_price
奥园北京源墅,密云,密云其它,溪翁庄镇,3室,120.0,270.0,24000
华远和墅,大兴,南中轴机场商务区,南六环磁各庄桥沿南中轴向南2公里,,,1350.0,38000
首开住总熙悦安郡,朝阳,成寿寺,肖村东路1号院,3室,84.0,1090.0,79500
北京书院,朝阳,惠新西街,北三环以北，惠新东街与北土城东路交汇处西行200米路北,1室,67.0,750.0,112000
金隅上城郡,昌平,北七家,北亚花园东路50米,3室,212.0,830.0,45000
首开保利欢乐大都汇,门头沟,冯村,石门营环岛北50米,,,500.0,65000
中铁华侨城和园,大兴,瀛海,南五环南海子公园西侧约500米,3室,154.0,850.0,55000
中海北京世家,大兴,亦庄开发区其它,三海子东路与公园北环路交叉口(南海子公园北侧),4室,280.0,1800.0,82000
中海北京世家,大兴,亦庄开发区其它,三海子东路与公园北环路交叉口(南海子公园北侧),3室,150.0,860.0,58000
东方蓝海中心,昌平,北七家,未来科学城东路与英才南二街交汇处,4室,104.0,700.0,52000
泰禾·北京公馆,朝阳,四惠,东四环中路58号,1室,76.0,800.0,105263
未来公元,昌平,北七家,京承高速北七家出口800米路南,3室,104.0,630.0,60800
通州万国城MOMA,通州,乔庄,果园环岛以东，运河西大街与玉桥西路交汇处,3室,112.0,800.0,71000
领秀翡翠墅,丰台,丰台其它,"王佐镇长青路南侧, 长青路88号院",4室,270.0,1430.0,65000
奥园北京源墅,密云,密云其它,密关路与313省道交汇处,3室,110.0,230.0,21000
北京城建北京合院,顺义,顺义其它,燕京街与通顺路交汇口东800米(仁和公园南),3室,95.0,450.0,47000
中骏西山天璟,门头沟,城子,永定楼北300米,4室,140.0,898.0,63000
新光大中心,通州,北关,滨惠北一街1号院2号楼,1室,97.0,428.0,49800
首开缇香郡,通州,通州其它,京津高速与张采路交叉口，京津高速于家务出口即到,3室,89.0,258.0,29000
珠光御景西园,丰台,丰台其它,长辛店长云路2号,3室,117.0,470.0,38600
和光尘樾,朝阳,东坝,东五环七棵树桥出口向东1.5千米,4室,290.0,1900.0,79800
北京城建北京合院,顺义,顺义其它,燕京街与通顺路交汇口东800米(仁和公园南),4室,210.0,1100.0,45000
国锐金嵿,亦庄开发区,亦庄,荣华南路1号院,4室,285.0,2200.0,78000
首开香溪郡,通州,通州其它,宋庄镇荷香街2号院,3室,90.0,400.0,38000
天润福熙大道,朝阳,北苑,"清河营东路1号院, 清河营东路3号院",3室,180.0,2000.0,90000
西长安壹号,门头沟,门头沟其它,门头沟石龙北路与石龙东路交汇向北100米处,,,135.0,33000
元熙华府,丰台,宋家庄,东南三环东铁营桥向南600米,2室,62.0,750.0,82000
京贸国际公馆,通州,九棵树(家乐福),怡乐中路299号院（广渠快速路二期出口向南1000米）,2室,92.0,555.0,63000
凯德麓语,昌平,昌平其它,兴寿镇京承高速G11出口向西怀昌路北侧,3室,280.0,700.0,35000
招商都会湾,昌平,东关,内环西路招商都会中心,3室,88.0,380.0,43000
京贸国际城·峰景,通州,武夷花园,芙蓉东路1号（通燕高速耿庄桥北出口向南300米）,1室,69.0,490.0,72000
观唐云鼎,密云,密云其它,溪翁庄镇密溪路39号院（云佛山度假村对面）,3室,346.0,1031.0,30000
御河壹号庄园,顺义,顺义城,顺福路2号,6室,519.0,2699.0,37000
