class_name,teacher,school_name,student_num
贵系特奖学霸：科研小白入门指北,高天宇 ,清华大学,931
个人计算机主要硬件介绍,朱书琦 ,清华大学,904
分布式系统的思考方法：以分布式文件系统为例,陈康 ,清华大学,892
王者荣耀荆轲之模型到游戏开发,于野 张永锋 ,启迪阿加学院,877
C语言程序设计,赵楷 任疆红 孙晶 盛琪 曹为民 周鲁梅 楚发元 张振宇 ,新疆大学,870
C语言程序设计,刘进锋 ,宁夏大学,824
AutoCAD软件应用,徐秀娟 孙路 霍奕宇 ,陕西国防工业职业技术学院,800
C程序设计,姜学锋 刘君瑞 ,西北工业大学,764
C#程序设计,刘君瑞 姜学锋 ,西北工业大学,692
清华大数据应用实践：快速搭建基于数据的应用,刘英博 ,清华大学,692
视觉无障碍智能交互,史元春 ,清华大学,664
安卓手机软件拼图式开发App   Inventor,王杰 ,广东开放大学,663
不确定性时代的计算传播学研究,王成军 张伦 许小可 ,南京大学,631
程序猿提升指南：调试与测试的道与术？,徐明星 ,清华大学,618
Compilation Principle,刘刚 付岩 曹雪 李丽洁 高迪 ,哈尔滨工程大学,567
计算机病毒分析,王志 ,南开大学,515
人工智能,陈钒 ,天津财经大学,514
编译技术,徐秀娟 贾棋 任志磊 江贺 刘馨月 ,大连理工大学,511
如何快速学好《编译原理》,陈志刚 ,中南大学,509
C++程序设计,魏英 姜学锋 ,西北工业大学,502
计算机系统架构的新挑战,汪东升 ,清华大学,458
复杂场景下的知识获取,韩旭 ,清华大学,448
用新数学做数据库,蒋步星 ,润乾软件,439
毕业季博硕论坛,刘知远 潘欣 丁小可 梁鼎 张国鑫 张凯 叶明江 林会杰 曹曦 涂存超 杨植麟 庞海天 武彬 ,清华大学,423
智能运维,汤汝鸣 孟伟彬 苏亚 刘平 ,清华大学,406
工业互联网大讲堂,田野 严鹏飞 ,中国工业互联网研究院,400
机器人的主动感知与行为学习,孙富春 ,清华大学,394
深度迁移学习在NLP当中的应用和实践,苏海波 ,学堂在线,371
数据到决策的框架：三个机器学习任务、三次结构转换,蒋朦 ,美国圣母大学,370
自动驾驶汽车电子控制系统工程师训练营,成波 ,学堂在线,361
Access程序设计基础,梁洁 张泽华 崔燕妮 林玲 ,云南大学,354
2020年公派出国留学政策及项目,国家留学基金委 ,清华大学,349
深度学习在推荐系统中的应用与发展,王喆 ,清华大学,348
C Programming,汪芳 张秀伟 周果清 刘君瑞 魏英 姜学锋 ,西北工业大学,332
推荐系统中的用户理解：偏好、意图、行为与满意度,张敏 ,清华大学,330
清华大学之“贵系”万花筒,刘潇 杨宗瀚 李晓涵 吴之璟 陈晟祺 高天宇 ,清华大学,315
量子计算离我们还远吗？,应明生 孙晓明 马雄峰 段润尧 ,清华大学,314
疫情与5G,孙松林 ,北京邮电大学,312
快手商业用户体验Insight,高小平 ,清华大学,308
高级机器学习训练营,唐杰 ,学堂在线,304
2020KDD顶会论文分享,任慧敏 李昂 晋嘉睿 窦英通 高峻逸 林禹臣 马辰 ,美国伍斯特理工学院,300
“神威·太湖之光”超级计算机优化方法与应用简介,甘霖 ,清华大学,286
算法支撑的赛博智能经济,徐恪 ,清华大学,285
Database Technology and Programming,高裴裴 李敏 袁晓洁 赵远红 康介恢 ,南开大学,278
知识驱动：人才战略的未来,张鹏 ,清华大学,277
国际超算赛事称霸指南,何家傲 陈晟祺 ,清华大学,277
AI肖像画大师：生成对抗网络驱动的多风格艺术肖像画创作,刘永进 ,清华大学,275
浅谈面试中的算法题,杨耀良 谢兴宇 ,清华大学,271
文献检索与论文写作,武祥龙 ,西北工业大学,271
走向以人为本的人工智能：利用人工智能提高人类决策能力,谭宸浩 ,科罗拉多大学波尔得分校,264
网络安全博弈之路,张超 ,清华大学,260
为网络化系统设计智能可靠的优化算法,黄隆波 ,清华大学,258
计算机组成原理与系统结构,李晨 ,西安交通大学,258
推荐系统产品分享,叶妃霞 ,学堂在线计算机学院,255
ICACHI 云论坛系列,任向实 付志勇 王建民 麻晓娟 袁晓君 李维 涂华伟 黄大源 杨兴栋 付志勇 Peter Scupelli 张黎 ,日本高知工科大学,255
计算机视觉,鲁鹏 ,北京邮电大学,250
当微信邂逅NLP基础研究,李鹏 ,清华大学,249
低时延网络挑战赛：从5G和边缘计算到互联网,崔勇 ,清华大学,246
