name	location_district	location_place	location_detail	room_type	room_area	total_price	average_price
和光尘樾	朝阳	东坝	东五环七棵树桥出口向东1.5千米	4室	290	"1900.0000	"	79800
北京城建北京合院	顺义	顺义其它	燕京街与通顺路交汇口东800米(仁和公园南)	4室	210	"1100.0000	"	45000
国锐金嵿	亦庄开发区	亦庄	荣华南路1号院	4室	285	"2200.0000	"	78000
首开香溪郡	通州	通州其它	宋庄镇荷香街2号院	3室	90	"400.0000	"	38000
天润福熙大道	朝阳	北苑	"清河营东路1号院, 清河营东路3号院"	3室	180	"2000.0000	"	90000
西长安壹号	门头沟	门头沟其它	门头沟石龙北路与石龙东路交汇向北100米处			"135.0000	"	33000
元熙华府	丰台	宋家庄	东南三环东铁营桥向南600米	2室	62	"750.0000	"	82000
京贸国际公馆	通州	九棵树(家乐福)	怡乐中路299号院（广渠快速路二期出口向南1000米）	2室	92	"555.0000	"	63000
凯德麓语	昌平	昌平其它	兴寿镇京承高速G11出口向西怀昌路北侧	3室	280	"850.0000	"	35000
招商都会湾	昌平	东关	内环西路招商都会中心	3室	88	"380.0000	"	43000
京贸国际城·峰景	通州	武夷花园	芙蓉东路1号（通燕高速耿庄桥北出口向南300米）	1室	69	"490.0000	"	72000
观唐云鼎	密云	密云其它	溪翁庄镇密溪路39号院（云佛山度假村对面）	3室	346	"1031.0000	"	30000
御河壹号庄园	顺义	顺义城	顺福路2号	6室	519	"2699.0000	"	37000
旭辉城	房山	房山其它	西南六环良乡出口往南约2公里	2室	75	"260.0000	"	32000
首创远洋禧瑞天著	亦庄开发区	通州其它	科创十一街与经海九路交汇处西南角（亦庄线次渠南站200米）	2室	89	"430.0000	"	52695
首开保利熙悦林语	大兴	瀛海	旧宫镇五环路与德贤路交叉口东150米	3室	220	"1100.0000	"	52315
檀香府	门头沟	门头沟其它	京潭大街与潭柘十街交叉口	3室	124	"500.0000	"	43000
金融街金悦府	大兴	黄村火车站	4号线义和庄地铁站往北400米	2室	83	"400.0000	"	50000
中海丽春湖墅·合院	昌平	沙河	地铁昌平线沙河地铁站南600米	4室	304	"1000.0000	"	54553
祥云赋	顺义	后沙峪	京承高速6出口（中央别墅区）罗马环岛北800米	3室	90	"500.0000	"	55583
中海金樾和著	房山	房山其它	良常路官道路口西800米	3室	89	"300.0000	"	33000
北京经开汀塘	亦庄开发区	通州其它	科创十一街与经海九路交汇处（地铁亦庄线次渠南站400米）	2室	82	"430.0000	"	53980
和悦华锦	大兴	大兴其它	博兴八路与兴海一街交叉口西南侧100米	3室	89	"460.0000	"	52695
尊悦光华	朝阳	CBD	光华东里甲1号院3号楼	3室	133	"1700.0000	"	130000
新潮嘉园二期	通州	潞苑	潞苑南大街185号	1室	65	"384.0000	"	58000
中海云筑	大兴	大兴新机场	京开高速庞各庄桥西1500米（庞各庄镇宏轩饺子馆儿对面）	3室	89	"340.0000	"	37000
中海云筑	大兴	大兴新机场	京开高速庞各庄桥西1500米，团结路北（庞各庄镇宏轩饺子馆儿对面）	4室	266	"750.0000	"	38000
远洋五里春秋	石景山	石景山其它	五里坨黑石头路前行500m	3室	290	"650.0000	"	52024
绿城西府海棠	石景山	石景山其它	隆恩寺路北人大附石景山分校西侧		90	"415.0000	"	52024
和锦薇棠	朝阳	常营	黄渠东路与朝阳北路辅路交汇处	3室	290	"1997.0000	"	68921
首创·河著	顺义	顺义其它	京承高速11出口（昌金路）向东900 米路北	4室	248	"1200.0000	"	53000
华萃西山	门头沟	门头沟其它	永定镇地铁S1号线石厂西南700米	3室	83	"390.0000	"	47000
金隅·金麟府	大兴	大兴其它	景园北街贵派大厦首层（荣昌东街地铁站对面）	3室	89	"468.0000	"	52695
住总正华·时代广场	大兴	天宫院	地铁4号线生物医药基地站南200米	0室	61	"404.0000	"	55000
天恒京西悦府	房山	阎村	燕房线阎村地铁站东南角约189米	3室	175	"800.0000	"	50000
东方太阳城	顺义	顺义其它	潮白河畔（顺义新城滨河森林公园西300米）	5室	411	"2100.0000	"	54000
西城天铸	丰台	丽泽	丽泽桥西北角，紧邻玉璞公园，距离三环450米			"1000.0000	"	58000
壹亮马	朝阳	酒仙桥	驼房营南路，将府公园西侧	4室	171	"1700.0000	"	98000
中粮天恒天悦壹号	丰台	西红门	南四环地铁新宫站南500米	5室	220	"2000.0000	"	82000
中海云熙	大兴	大兴其它	魏善庄新城南中轴路东侧500米	2室	76	"285.0000	"	37700
大兴金茂悦	大兴	大兴其它	南中轴与龙江路交汇处东300米（世界月季公园北500米）	3室	74	"299.0000	"	36500
远洋五里春秋	石景山	石景山其它	五里坨黑石头路前行500m	4室	330	"1300.0000	"	52024
林肯时代	亦庄开发区	亦庄	荣华路与荣京西街交叉口西侧300米（荣京东街站西侧600米）	2室	103	"450.0000	"	42000
公园十七区	顺义	后沙峪	中央别墅区火沙路和裕庆路交汇口北500米	3室	90	"480.0000	"	55711
首开熙悦观湖	房山	房山其它	"房山区青龙湖镇中心区,西至魏各庄路,北至青龙湖管理处"	3室	89	"280.0000	"	32500
国誉府	顺义	马坡	聚源西路7号内205号	2室	80	"300.0000	"	43467
金辰府	昌平	北七家	北五环定泗路北七家镇政府正南	3室	89	"400.0000	"	53000
建邦·顺颐府	顺义	后沙峪	空港B区裕民大街30号千里马国际一层建邦·顺颐府售楼中心	3室	89	"423.0000	"	55583
中铁·诺德春风和院	丰台	花乡	丰台区白盆窑六圈路和樊羊路交汇处东南	3室	89	"600.0000	"	67702
萬橡悦府	昌平	回龙观	京藏高速与北清路交汇口东2公里	2室	73	"380.0000	"	54197
中铁诺德·逸府	丰台	科技园区	樊羊路与六圈南路交汇处往南500米	2室	69	"467.0000	"	67702
华萃西山	门头沟	门头沟其它	门头沟永定镇地铁S1号线石厂站西南700米	4室	135	"780.0000	"	52000
山屿西山著	海淀	海淀北部新区	海淀区温泉镇太舟坞	3室	89	"800.0000	"	53000
信达·国子郡	昌平	沙河	沙河镇北沙河中路与高教园附近	3室	79	"540.0000	"	48810
华业玫瑰东筑	通州	临河里	梨园南街与临河里路交汇处，通州地铁土桥站南行800米	2室	97	"425.0000	"	50000
北京东湾	通州	万达	通惠北路98号	1室	58	"420.0000	"	68500
天恒世界集	大兴	高米店	盛坊路1号院	0室	60	"300.0000	"	55000
中铁诺德阅墅	顺义	中央别墅区	中央别墅区优山美地D区西北侧	4室	220	"1300.0000	"	62000
懋源·璟岳	丰台	玉泉营	南三环西路99号院	2室	132	"2300.0000	"	113000
懋源·璟岳	丰台	玉泉营	南三环西路99号院	4室	465	"5500.0000	"	113000
山屿西山著	海淀	海淀北部新区	北清路山屿西山著	4室	225	"1192.5000	"	53000
御世佳府	通州	潞苑	朝阳北路延长线北侧	4室	222	"1400.0000	"	70000
碧桂园·京源著	延庆	延庆其它	百泉街与延康路交叉口北200米	3室	89	"235.0000	"	28000
城市之光·东望	通州	通州其它	东五环化工桥向东京津高速第一出口通马路向南约500米	2室	70	"380.0000	"	51585
合景泰富天汇	顺义	马坡	昌金路与通顺路交汇处	3室	89	"330.0000	"	38000
金地旭辉·江山风华	大兴	黄村中	地铁4号线清源路站西侧800米	3室	89	"480.0000	"	55800
水岸雁栖	怀柔	怀柔	雁栖镇京加路雁栖桥西北500米处	0室	56	"207.0000	"	34000
懋源·璟玺	朝阳	中央别墅区	孙河京密路与京平辅路交叉口西行1000米	4室	262	"4200.0000	"	86000
金隅学府	大兴	大兴其它	景园北街2号51-1号贵派大厦一楼	2室	82	"432.0000	"	52695
台湖金茂悦	通州	通州其它	台湖镇亦庄新城惠民路与生态公园路交汇处	2室	80	"400.0000	"	50000
中国铁建国际公馆	大兴	大兴其它	博兴十路中国铁建国际公馆	2室	80	"400.0000	"	52695
迈宇平墅	顺义	顺义城	顺平路迈宇平墅	4室	217	"800.0000	"	38000
观承·望溪	顺义	后沙峪	京承高速8号出口东800米	4室	130	"700.0000	"	55800
西山上品湾MOMA	昌平	昌平其它	阳坊镇温南路与阳八路交汇处	3室	130	"487.0000	"	37500
中骏天峰	门头沟	滨河西区	石龙东路中骏天峰	3室	89	"470.0000	"	53000
